2022.07.09 16:58:48.574 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 17:22:17.962 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 17:22:17.965 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 17:22:17.966 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:22:17.967 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@2f4063fb
2022.07.09 17:22:17.969 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:22:17.975 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:23:03.459 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 17:23:03.460 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.BreadthFirstSearch@395cf3b9
2022.07.09 17:23:03.472 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 17:23:25.248 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:23:25.248 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@2d483cce
2022.07.09 17:23:25.249 INFO  Model.MyModel - Client is asking for generating a maze with rows 10 and columns 10
2022.07.09 17:23:25.250 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:23:36.493 INFO  Model.MyModel - Maze is saved successfully in the following file path: /Users/john-zaatri/Desktop/no relevant documents/maze1.txt
2022.07.09 17:23:48.536 INFO  Model.MyModel - Maze is loaded successfully from the file path: /Users/john-zaatri/Desktop/no relevant documents/maze1.txt
2022.07.09 17:24:14.712 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:24:14.712 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.EmptyMazeGenerator@2470df5e
2022.07.09 17:24:14.713 INFO  Model.MyModel - Client is asking for generating a maze with rows 10 and columns 10
2022.07.09 17:24:14.714 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:24:21.078 INFO  Model.MyModel - Both servers were stopped from working, and the game has been exited successfully
2022.07.09 17:25:42.496 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 17:25:42.499 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 17:25:42.501 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:25:42.501 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.EmptyMazeGenerator@1be5ed49
2022.07.09 17:25:42.503 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:25:42.509 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:25:47.333 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:25:47.333 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.EmptyMazeGenerator@7941f15
2022.07.09 17:25:47.333 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:25:47.335 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:25:48.001 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:25:48.001 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.EmptyMazeGenerator@47a4bd4a
2022.07.09 17:25:48.001 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:25:48.003 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:25:48.400 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:25:48.400 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.EmptyMazeGenerator@79aa32e0
2022.07.09 17:25:48.400 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:25:48.402 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:25:48.583 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:25:48.583 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.EmptyMazeGenerator@3cb0c5cc
2022.07.09 17:25:48.583 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:25:48.585 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:25:59.101 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:25:59.101 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@85a1509
2022.07.09 17:25:59.101 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:25:59.103 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:25:59.766 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:25:59.767 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@791616a
2022.07.09 17:25:59.767 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:25:59.768 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:26:00.233 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 17:26:00.233 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@5795809e
2022.07.09 17:26:00.234 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 17:26:00.235 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 17:26:04.653 INFO  Model.MyModel - servers who was working is stopped from working, and the game has been exited successfully
2022.07.09 17:52:53.760 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 17:52:53.763 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 17:52:56.563 INFO  Model.MyModel - servers who was working is stopped from working, and the game has been exited successfully
2022.07.09 18:11:58.329 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:11:58.333 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:11:58.334 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:11:58.335 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@490d6923
2022.07.09 18:11:58.335 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:11:58.341 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:12:00.157 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
